question,response,source,tags,score,question_body
How do I reset my Windows password?,"To reset your Windows password, follow these steps:
1. Boot into Safe Mode by pressing F8 during startup
2. Log in as Administrator
3. Go to Control Panel > User Accounts
4. Select the account you want to reset
5. Click ""Change password"" and enter a new password
6. Restart your computer normally

Alternatively, you can use a password reset disk if you created one previously.",synthetic,"it-support,troubleshooting",0,
My computer is running very slow. What should I do?,"Here are several steps to improve your computer's performance:
1. Check Task Manager (Ctrl+Shift+Esc) to identify resource-heavy processes
2. Uninstall unnecessary programs from Control Panel
3. Run Disk Cleanup to remove temporary files
4. Disable startup programs that aren't needed
5. Check for malware using Windows Defender or antivirus software
6. Ensure you have at least 15% free disk space
7. Consider upgrading RAM if you frequently run multiple applications
8. Update your drivers and Windows

If the problem persists, consider checking for hardware issues or performing a clean Windows installation.",synthetic,"it-support,troubleshooting",0,
"How do I fix ""No Internet Connection"" error?","Try these troubleshooting steps:
1. Restart your router and modem (unplug for 30 seconds)
2. Check if other devices can connect to the network
3. Run Windows Network Troubleshooter (right-click network icon)
4. Update network adapter drivers
5. Reset TCP/IP stack: Open Command Prompt as admin and run:
   - netsh winsock reset
   - netsh int ip reset
   - ipconfig /release
   - ipconfig /renew
   - ipconfig /flushdns
6. Disable and re-enable your network adapter
7. Check if your IP address is valid (should not be 169.254.x.x)
8. Temporarily disable firewall/antivirus to test

If using Wi-Fi, try connecting via Ethernet to isolate the issue.",synthetic,"it-support,troubleshooting",0,
How do I install a printer on Windows 10?,"To install a printer on Windows 10:
1. Connect the printer to your computer via USB or ensure it's on the same network
2. Go to Settings > Devices > Printers & scanners
3. Click ""Add a printer or scanner""
4. Windows will search for available printers
5. Select your printer from the list and click ""Add device""
6. If not found, click ""The printer that I want isn't listed""
7. Choose the appropriate option (local printer, network printer, etc.)
8. Follow the wizard to install drivers

For network printers, you may need the IP address. You can also download drivers from the manufacturer's website for best compatibility.",synthetic,"it-support,troubleshooting",0,
What should I do if my laptop won't turn on?,"Try these steps to diagnose the issue:
1. Check if the power adapter is working (LED light on adapter)
2. Remove the battery and hold power button for 30 seconds
3. Reconnect power adapter (without battery) and try to turn on
4. If it works, the battery may be faulty
5. Check for signs of physical damage
6. Listen for beep codes or fan sounds when pressing power
7. Try connecting to an external monitor to rule out display issues
8. Remove all peripherals and try again
9. If you see lights but no display, try pressing Fn+F4/F5 to switch displays

If none of these work, there may be a hardware failure requiring professional repair.",synthetic,"it-support,troubleshooting",0,
How do I find out which process is listening on a TCP or UDP port on Windows?,"<h1><a href=""https://en.wikipedia.org/wiki/PowerShell"" rel=""noreferrer"">PowerShell</a></h1>
<h2>TCP</h2>
<pre><code>Get-Process -Id (Get-NetTCPConnection -LocalPort YourPortNumberHere).OwningProcess
</code></pre>
<p>This shows several columns of information about the process.  The Id column is the PID you need if you want to kill it with <code>taskkill /PID &lt;pid&gt;</code>.</p>
<h2>UDP</h2>
<pre><code>Get-Process -Id (Get-NetUDPEndpoint -LocalPort YourPortNumberHere).OwningProcess
</code></pre>
<h1><a href=""https://en.wikipedia.org/wiki/Cmd.exe"" rel=""noreferrer"">cmd</a></h1>
<pre><code> netstat -a -b
</code></pre>
<p>(Add <strong>-n</strong> to stop it trying to resolve hostnames, which will make it a lot faster.)</p>
<p>Note Dane's recommendation for <a href=""http://technet.microsoft.com/en-us/sysinternals/bb897437.aspx"" rel=""noreferrer"">TCPView</a>. It looks very useful!</p>
<p><strong>-a</strong>  Displays all connections and listening ports.</p>
<p><strong>-b</strong>  Displays the executable involved in creating each connection or listening port. In some cases well-known executables host multiple independent components, and in these cases the sequence of components involved in creating the connection or listening port is displayed. In this case the executable name is in [] at the bottom, on top is the component it called, and so forth until TCP/IP was reached. Note that this option can be time-consuming and will fail unless you have sufficient permissions.</p>
<p><strong>-n</strong>  Displays addresses and port numbers in numerical form.</p>
<p><strong>-o</strong>  Displays the owning process ID associated with each connection.</p>
",stackoverflow,"windows,network-programming,port",3476,"<p>How do I find out which process is listening on a TCP or UDP port on Windows?</p>
"
Is there an equivalent of &#39;which&#39; on the Windows command line?,"<p>I suggest you use Windows PowerShell's <a href=""https://learn.microsoft.com/powershell/module/microsoft.powershell.core/get-command?view=powershell-7.4"" rel=""noreferrer""><code>Get-Command</code></a> cmdlet, as described in <a href=""https://stackoverflow.com/questions/304319/is-there-an-equivalent-of-which-on-the-windows-command-line#77295239"">another answer to this question</a> by Marawan Mamdouh.</p>
<p>If you're like me and don't use PowerShell, use Windows' <a href=""https://learn.microsoft.com/windows-server/administration/windows-commands/where"" rel=""noreferrer""><code>where.exe</code></a> program. Like Unix <code>which</code>, it shows the full path that would match the filename-only command you type:</p>
<pre><code>C:\&gt; where edit
C:\Windows\System32\edit.com
</code></pre>
<p>Unlike <code>which</code>, <code>where.exe</code> can show all the paths that match the given filename, though only the first one shown would normally be used when launching a program:</p>
<pre><code>C:\&gt; where notepad
C:\Windows\System32\notepad.exe
C:\Windows\notepad.exe
</code></pre>
<p><code>where.exe</code> tries to follow the Windows command shell CMD.EXE's rules for what file names and paths work as commands. That includes the <code>%PATHEXT%</code> environment variable and the ability to open non-program data files using their filenames with extensions:</p>
<pre><code>C:\&gt; set pathext
PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC

C:\&gt; where Enterprise.xml slmgr
C:\Windows\Enterprise.xml
C:\Windows\System32\slmgr.vbs
</code></pre>
<p><code>where.exe</code> will even accept wildcards, so <code>where nt*.exe</code> finds all files in your <code>%PATH%</code> and current directory whose names start with <code>nt</code> and end with <code>.exe</code>:</p>
<pre><code>C:\&gt; where nt*.exe
C:\Windows\System32\ntoskrnl.exe
C:\Windows\System32\ntprint.exe
C:\Windows\System32\ntvdm.exe
</code></pre>
<p>Check the <a href=""https://learn.microsoft.com/windows-server/administration/windows-commands/where"" rel=""noreferrer"">online docs for <code>where.exe</code></a> or run <code>where.exe /?</code> for more help.</p>
<hr />
<p><em>Notes</em>:</p>
<ul>
<li>When using PowerShell, run <code>where.exe</code> as <code>where.exe</code>, never <code>where</code>. Plain <code>where</code> in PowerShell is an alias for the <a href=""https://learn.microsoft.com/powershell/module/microsoft.powershell.core/where-object?view=powershell-7.4"" rel=""noreferrer""><code>Where-Object</code></a> cmdlet, which does something very different from <code>where.exe</code> / <code>which</code>.</li>
<li><code>where.exe</code> is available in Windows Server 2003 and later. Sorry if you're still on Windows XP.</li>
</ul>
",stackoverflow,"windows,command-line,path-variables",2898,"<p>As I sometimes have path problems, where one of my own cmd scripts is hidden (shadowed) by another program (earlier on the path), I would like to be able to find the full path to a program on the Windows command line, given just its name.</p>

<p>Is there an equivalent to the UNIX command 'which'?</p>

<p>On UNIX, <code>which command</code> prints the full path of the given command to easily find and repair these shadowing problems.</p>
"
How do I install pip on Windows?,"<h2>Python 3.4+ and 2.7.9+</h2>
<p>Good news! <a href=""https://docs.python.org/3/whatsnew/3.4.html"" rel=""noreferrer"">Python 3.4</a> (released March 2014) and <a href=""https://docs.python.org/2/whatsnew/2.7.html#pep-477-backport-ensurepip-pep-453-to-python-2-7"" rel=""noreferrer"">Python 2.7.9</a> (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins <a href=""http://en.wikipedia.org/wiki/Ruby_%28programming_language%29"" rel=""noreferrer"">Ruby</a>, <a href=""http://en.wikipedia.org/wiki/Node.js"" rel=""noreferrer"">Node.js</a>, <a href=""http://en.wikipedia.org/wiki/Haskell_%28programming_language%29"" rel=""noreferrer"">Haskell</a>, <a href=""http://en.wikipedia.org/wiki/Perl"" rel=""noreferrer"">Perl</a>, <a href=""http://en.wikipedia.org/wiki/Go_%28programming_language%29"" rel=""noreferrer"">Go</a>—almost every other contemporary language with a majority open-source community. Thank you, Python.</p>
<p>If you do find that pip is not available, simply run <a href=""https://docs.python.org/library/ensurepip.html"" rel=""noreferrer""><code>ensurepip</code></a>.</p>
<ul>
<li><p>On Windows:</p>
<pre><code>py -3 -m ensurepip
</code></pre>
</li>
<li><p>Otherwise:</p>
<pre><code>python3 -m ensurepip
</code></pre>
</li>
</ul>
<p>Of course, that doesn't mean Python packaging is problem solved. The experience remains frustrating. I discuss this <a href=""https://stackoverflow.com/questions/2436731/does-python-have-a-package-module-management-system/13445719#13445719"">in the Stack Overflow question <em>Does Python have a package/module management system?</em></a>.</p>
<h2>Python 3 ≤ 3.3 and 2 ≤ 2.7.8</h2>
<p>Flying in the face of its <a href=""http://www.python.org/about/"" rel=""noreferrer"">'batteries included'</a> motto, Python ships without a package manager. To make matters worse, Pip was—until recently—ironically difficult to install.</p>
<h3>Official instructions</h3>
<p>Per <a href=""https://pip.pypa.io/en/stable/installing/#do-i-need-to-install-pip"" rel=""noreferrer"">https://pip.pypa.io/en/stable/installing/#do-i-need-to-install-pip</a>:</p>
<p>Download <a href=""https://bootstrap.pypa.io/get-pip.py"" rel=""noreferrer""><code>get-pip.py</code></a>, being careful to save it as a <code>.py</code> file rather than <code>.txt</code>. Then, run it from the command prompt:</p>
<pre><code>python get-pip.py
</code></pre>
<p>You possibly need an administrator command prompt to do this. Follow <em><a href=""http://technet.microsoft.com/en-us/library/cc947813(v=ws.10).aspx"" rel=""noreferrer"">Start a Command Prompt as an Administrator</a></em> (Microsoft TechNet).</p>
<p>This installs the pip package, which (in Windows) contains ...\Scripts\pip.exe that path must be in PATH environment variable to use pip from the command line (see the second part of 'Alternative Instructions' for adding it to your PATH,</p>
<h3>Alternative instructions</h3>
<p>The official documentation tells users to install Pip and each of its dependencies from source. That's tedious for the experienced and prohibitively difficult for newbies.</p>
<p>For our sake, Christoph Gohlke prepares Windows installers (<code>.msi</code>) for popular Python packages. He builds installers for all Python versions, both 32 and 64 bit. You need to:</p>
<ol>
<li><a href=""http://www.lfd.uci.edu/%7Egohlke/pythonlibs/#setuptools"" rel=""noreferrer"">Install setuptools</a></li>
<li><a href=""http://www.lfd.uci.edu/%7Egohlke/pythonlibs/#pip"" rel=""noreferrer"">Install pip</a></li>
</ol>
<p>For me, this installed Pip at <code>C:\Python27\Scripts\pip.exe</code>. Find <code>pip.exe</code> on your computer, then add its folder (for example, <code>C:\Python27\Scripts</code>) to your path (Start / Edit environment variables). Now you should be able to run <code>pip</code> from the command line. Try installing a package:</p>
<pre><code>pip install httpie
</code></pre>
<p>There you go (hopefully)! Solutions for common problems are given below:</p>
<h3>Proxy problems</h3>
<p>If you work in an office, you might be behind an HTTP proxy. If so, set the environment variables <a href=""http://docs.python.org/2/library/urllib.html"" rel=""noreferrer""><code>http_proxy</code> and <code>https_proxy</code></a>. Most Python applications (and other free software) respect these. Example syntax:</p>
<pre><code>http://proxy_url:port
http://username:password@proxy_url:port
</code></pre>
<p>If you're really unlucky, your proxy might be a Microsoft <a href=""https://en.wikipedia.org/wiki/NT_LAN_Manager"" rel=""noreferrer"">NTLM</a> proxy. Free software can't cope. The only solution is to install a free software friendly proxy that forwards to the nasty proxy. <a href=""http://cntlm.sourceforge.net/"" rel=""noreferrer"">http://cntlm.sourceforge.net/</a></p>
<h3>Unable to find vcvarsall.bat</h3>
<p>Python modules can be partly written in C or C++. Pip tries to compile from source. If you don't have a C/C++ compiler installed and configured, you'll see this cryptic error message.</p>
<blockquote>
<p>Error: Unable to find vcvarsall.bat</p>
</blockquote>
<p>You can fix that by <a href=""https://stackoverflow.com/questions/2817869/error-unable-to-find-vcvarsall-bat"">installing a C++ compiler</a> such as <a href=""http://en.wikipedia.org/wiki/MinGW"" rel=""noreferrer"">MinGW</a> or <a href=""http://en.wikipedia.org/wiki/Visual_C%2B%2B#32-bit_versions"" rel=""noreferrer"">Visual C++</a>. Microsoft actually ships one specifically for use with Python. Or try <em><a href=""http://aka.ms/vcpython27"" rel=""noreferrer"">Microsoft Visual C++ Compiler for Python 2.7</a></em>.</p>
<p>Often though it's easier to check <a href=""http://www.lfd.uci.edu/%7Egohlke/pythonlibs/"" rel=""noreferrer"">Christoph's site</a> for your package.</p>
",stackoverflow,"python,windows,pip",2775,"<p><a href=""https://pip.pypa.io/en/stable/"" rel=""noreferrer""><code>pip</code></a> is a replacement for <a href=""http://setuptools.readthedocs.io/en/latest/easy_install.html"" rel=""noreferrer""><code>easy_install</code></a>. But should I install <code>pip</code> using <code>easy_install</code> on Windows? Is there a better way?</p>
"
Filename too long in Git for Windows,"<p>Git has a limit of 4096 characters for a filename, except on Windows when Git is compiled with msys. It uses an older version of the Windows API and there's a limit of 260 characters for a filename.</p>
<p>So as far as I understand this, it's a limitation of msys and not of Git. You can read the details here:
<a href=""https://github.com/msysgit/git/pull/110"" rel=""noreferrer"">https://github.com/msysgit/git/pull/110</a></p>
<p>You can circumvent this by using another Git client on Windows or set <code>core.longpaths</code> to <code>true</code> as explained in other answers.</p>
<pre><code>git config --system core.longpaths true
</code></pre>
<p>NOTE: due to <a href=""https://github.com/desktop/desktop/issues/8023#issuecomment-515115353"" rel=""noreferrer"">https://github.com/desktop/desktop/issues/8023#issuecomment-515115353</a>, Github Desktop (and potentially other Git GUIs as well) will read the <code>--global</code> config but not the <code>--system</code> config</p>
<p>Git is build as a combination of scripts and compiled code. With the above change some of the scripts might fail. That's the reason for core.longpaths not to be enabled by default.</p>
<p>The windows documentation at <a href=""https://learn.microsoft.com/en-us/windows/win32/fileio/maximum-file-path-limitation?tabs=cmd#enable-long-paths-in-windows-10-version-1607-and-later"" rel=""noreferrer"">https://learn.microsoft.com/en-us/windows/win32/fileio/maximum-file-path-limitation?tabs=cmd#enable-long-paths-in-windows-10-version-1607-and-later</a> has some more information:</p>
<blockquote>
<p>Starting in Windows 10, version 1607, MAX_PATH limitations have been
removed from common Win32 file and directory functions. However, you
must opt-in to the new behavior.</p>
<p>A registry key allows you to enable or disable the new long path
behavior. To enable long path behavior set the registry key at
HKLM\SYSTEM\CurrentControlSet\Control\FileSystem\LongPathsEnabled
(Type: REG_DWORD)</p>
</blockquote>
<h5>Appendix - Doing it all from PowerShell - the copy-paste edition</h5>
<p>This is a Windows specific issue, hence the solution below should work in most Windows versions, new and old.</p>
<p>Open a PowerShell window/console, and run the following:</p>
<ul>
<li>Setting Registry Value:</li>
</ul>
<pre><code># Check LongPathsEnabled settings
Get-ItemProperty HKLM:\SYSTEM\CurrentControlSet\Control\FileSystem -Name LongPathsEnabled

# If 0, set it to 1 - This is a System wide configuration
# This will fail if you do not have Admin priveleges
# Changes to CurrentControlSet\Control take effect after a system restart
$MyPSexe = Get-Process -PID $PID | % Path
Start-Process -Verb RunAs $MyPSexe &quot;-c&quot;,&quot;Set-ItemProperty HKLM:\SYSTEM\CurrentControlSet\Control\FileSystem -Name LongPathsEnabled -Type DWord -Value 1&quot;
</code></pre>
<ul>
<li>Setting <code>git config --system</code> - System wide for all Windows users:</li>
</ul>
<pre><code>Start-Process -Verb RunAs &quot;git&quot; &quot;config&quot;,&quot;--system&quot;,&quot;core.longpaths&quot;,&quot;true&quot;
</code></pre>
<ul>
<li>Alternative - non admin option: Setting <code>git config --global</code> - User's global settings:</li>
</ul>
<pre><code>&amp; git config &quot;--global&quot; core.longpaths true
</code></pre>

",stackoverflow,"windows,git",1649,"<p>I'm using <code>Git-1.9.0-preview20140217</code> for Windows. As I know, this release should fix the issue with too long filenames. But not for me.</p>
<p>Surely I'm doing something wrong: I did <code>git config core.longpaths true</code> and <code>git add .</code> and then <code>git commit</code>. Everything went well. But when I now do a <code>git status</code>, I get a list of files with <code>Filename too long</code>, for example:</p>
<blockquote>
<p><code>node_modules/grunt-contrib-imagemin/node_modules/pngquant-bin/node_modules/bin-wrapper/node_modules/download/node_modules/request/node_modules/form-data/node_modules/combined-stream/node_modules/delayed-stream/test/integration/test-handle-source-errors.js: Filename too long</code></p>
</blockquote>
<p>It is quite simple to reproduce for me: just create a <a href=""https://en.wikipedia.org/wiki/Yeoman_(software)"" rel=""noreferrer"">Yeoman</a> web application with the Angular generator (&quot;yo angular&quot;) and remove <code>node_modules</code> from the <code>.gitignore</code> file. Then repeat the aforementioned Git commands.</p>
<p>What am I missing here?</p>
"
Ignoring directories in Git repositories on Windows,"<p>Create a file named <code>.gitignore</code> in your project's directory. Ignore directories by entering the directory name into the file (with a slash appended):</p>

<pre><code>dir_to_ignore/
</code></pre>

<p>More information is <a href=""http://git-scm.com/docs/gitignore"" rel=""noreferrer"">here</a>.</p>
",stackoverflow,"windows,git,gitignore,git-bash,msysgit",1590,"<p>How can I ignore directories or folders in Git using msysgit on Windows?</p>
"
